#time =  2.0000073E+03
#uTau =  5.3712678E-02
#ReTau =  2.6961347E+02
#  y     y+     uu     vv     ww     uv
  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
  1.845017964E-03  4.974417012E-01  4.937688970E-02  9.761555238E-07  1.061763594E-02 -5.651843227E-05
  5.873392890E-03  1.583545856E+00  4.960314599E-01  6.064236973E-05  9.096585574E-02 -1.824923770E-03
  1.137423075E-02  3.066645857E+00  1.817252677E+00  6.454452927E-04  2.761999763E-01 -1.320959463E-02
  1.739576925E-02  4.690133765E+00  4.008865440E+00  2.762946161E-03  5.196364725E-01 -4.491791481E-02
  2.289660711E-02  6.173233766E+00  6.342304929E+00  6.760533666E-03  7.454764671E-01 -9.354931442E-02
  2.692498204E-02  7.259337921E+00  8.031375495E+00  1.121437758E-02  9.033975542E-01 -1.391466496E-01
  2.877000000E-02  7.756779622E+00  8.760872081E+00  1.372028842E-02  9.725913423E-01 -1.621043482E-01
  2.877000000E-02  7.756779622E+00  8.760872081E+00  1.372028842E-02  9.725913423E-01 -1.621043482E-01
  3.135828380E-02  8.454615808E+00  9.715353681E+00  1.774394660E-02  1.065861083E+00 -1.958391389E-01
  3.700949034E-02  9.978257229E+00  1.145607008E+01  2.861349354E-02  1.252754268E+00 -2.725729627E-01
  4.472634178E-02  1.205882435E+01  1.300387358E+01  4.796965789E-02  1.468394215E+00 -3.751791193E-01
  5.317365822E-02  1.433633467E+01  1.372132808E+01  7.462141706E-02  1.651601560E+00 -4.741360090E-01
  6.089050966E-02  1.641690179E+01  1.372645939E+01  1.031784147E-01  1.773591165E+00 -5.481251192E-01
  6.654171620E-02  1.794054321E+01  1.347275937E+01  1.261183257E-01  1.838471713E+00 -5.923651620E-01
  6.913000000E-02  1.863837940E+01  1.330754031E+01  1.370814960E-01  1.862030721E+00 -6.100467005E-01
  6.913000000E-02  1.863837940E+01  1.330754031E+01  1.370814960E-01  1.862030721E+00 -6.100467005E-01
  7.276167769E-02  1.961752863E+01  1.303886109E+01  1.528554363E-01  1.889198334E+00 -6.323580884E-01
  8.069100936E-02  2.175538328E+01  1.235854078E+01  1.884532816E-01  1.927605331E+00 -6.721743576E-01
  9.151869265E-02  2.467467258E+01  1.135734164E+01  2.382227511E-01  1.943542896E+00 -7.108792866E-01
  1.033713074E-01  2.787029720E+01  1.030242831E+01  2.921023039E-01  1.927942834E+00 -7.384444126E-01
  1.141989906E-01  3.078958649E+01  9.432705276E+00  3.391798284E-01  1.895191859E+00 -7.543298645E-01
  1.221283223E-01  3.292744114E+01  8.861082018E+00  3.717644354E-01  1.864638546E+00 -7.619129949E-01
  1.257600000E-01  3.390659038E+01  8.617440026E+00  3.860731431E-01  1.849474936E+00 -7.644839137E-01
  1.257600000E-01  3.390659038E+01  8.617440026E+00  3.860731431E-01  1.849474936E+00 -7.644839137E-01
  1.308538400E-01  3.527995828E+01  8.294163013E+00  4.054503250E-01  1.827370022E+00 -7.672755787E-01
  1.419756273E-01  3.827854198E+01  7.658213765E+00  4.448314652E-01  1.777096772E+00 -7.706423256E-01
  1.571626816E-01  4.237317642E+01  6.925021966E+00  4.920098426E-01  1.706914822E+00 -7.706942313E-01
  1.737873184E-01  4.685540251E+01  6.267705379E+00  5.352146938E-01  1.630940272E+00 -7.665922302E-01
  1.889743727E-01  5.095003696E+01  5.771232701E+00  5.676033235E-01  1.563852534E+00 -7.602371499E-01
  2.000961600E-01  5.394862066E+01  5.457873584E+00  5.874647084E-01  1.516834686E+00 -7.544264945E-01
  2.051900000E-01  5.532198855E+01  5.326275806E+00  5.955646373E-01  1.496019653E+00 -7.514965358E-01
  2.051900000E-01  5.532198855E+01  5.326275806E+00  5.955646373E-01  1.496019653E+00 -7.514965358E-01
  2.123366389E-01  5.724881869E+01  5.152625012E+00  6.059446413E-01  1.467612707E+00 -7.471342106E-01
  2.279404659E-01  6.145582068E+01  4.811946032E+00  6.249461660E-01  1.408873484E+00 -7.367362781E-01
  2.492478476E-01  6.720057786E+01  4.415289085E+00  6.438452256E-01  1.335118009E+00 -7.210323470E-01
  2.725721524E-01  7.348912469E+01  4.051032824E+00  6.569120436E-01  1.261160239E+00 -7.023874081E-01
  2.938795341E-01  7.923388187E+01  3.764560847E+00  6.633065346E-01  1.198208391E+00 -6.843785665E-01
  3.094833611E-01  8.344088386E+01  3.576967516E+00  6.652892601E-01  1.154487549E+00 -6.707556701E-01
  3.166300000E-01  8.536771400E+01  3.496639549E+00  6.655499000E-01  1.135106752E+00 -6.644160519E-01
  3.166300000E-01  8.536771400E+01  3.496639549E+00  6.655499000E-01  1.135106752E+00 -6.644160519E-01
  3.266567139E-01  8.807105115E+01  3.389762840E+00  6.653114585E-01  1.108670397E+00 -6.554494482E-01
  3.485488383E-01  9.397346286E+01  3.173880530E+00  6.626417495E-01  1.053537201E+00 -6.355791281E-01
  3.784430336E-01  1.020333407E+02  2.911955266E+00  6.551300430E-01  9.842322758E-01 -6.079437976E-01
  4.111669664E-01  1.108561538E+02  2.663603632E+00  6.430774369E-01  9.158465721E-01 -5.772440353E-01
  4.410611617E-01  1.189160317E+02  2.464401888E+00  6.295370988E-01  8.586682201E-01 -5.489316551E-01
  4.629532861E-01  1.248184434E+02  2.331558894E+00  6.184878026E-01  8.196814845E-01 -5.279770892E-01
  4.729800000E-01  1.275217805E+02  2.273562437E+00  6.131598226E-01  8.026475329E-01 -5.183150106E-01
