#time =  2.0000141E+03
#uTau =  5.3377956E-02
#ReTau =  2.6793332E+02
#  y     y+     uu     vv     ww     uv
  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
  1.845017964E-03  4.943417884E-01  4.877926615E-02  1.392482440E-06  1.139202945E-02 -5.702912808E-05
  5.873392890E-03  1.573677656E+00  4.878247231E-01  7.268220999E-05  9.753305693E-02 -1.823786812E-03
  1.137423075E-02  3.047535407E+00  1.780771483E+00  7.404356717E-04  2.957418729E-01 -1.322065088E-02
  1.739576925E-02  4.660906208E+00  3.918723416E+00  3.100130094E-03  5.558416609E-01 -4.498067453E-02
  2.289660711E-02  6.134763958E+00  6.186590542E+00  7.485268509E-03  7.973035890E-01 -9.361476092E-02
  2.692498204E-02  7.214099826E+00  7.820451926E+00  1.232650593E-02  9.665269027E-01 -1.390992528E-01
  2.877000000E-02  7.708441615E+00  8.523393631E+00  1.503909082E-02  1.040819233E+00 -1.619555751E-01
  2.877000000E-02  7.708441615E+00  8.523393631E+00  1.503909082E-02  1.040819233E+00 -1.619555751E-01
  3.135828380E-02  8.401929087E+00  9.440006610E+00  1.938385112E-02  1.141126931E+00 -1.954864717E-01
  3.700949034E-02  9.916075616E+00  1.109931973E+01  3.108451191E-02  1.342770222E+00 -2.715195909E-01
  4.472634178E-02  1.198367724E+01  1.255040895E+01  5.188038475E-02  1.576582323E+00 -3.727228582E-01
  5.317365822E-02  1.424699478E+01  1.319339991E+01  8.052589557E-02  1.776142830E+00 -4.699420403E-01
  6.089050966E-02  1.631459641E+01  1.316049772E+01  1.112496795E-01  1.909306694E+00 -5.425434227E-01
  6.654171620E-02  1.782874293E+01  1.289394737E+01  1.359373542E-01  1.980136756E+00 -5.860184251E-01
  6.913000000E-02  1.852223041E+01  1.272619483E+01  1.477335528E-01  2.005848948E+00 -6.034313904E-01
  6.913000000E-02  1.852223041E+01  1.272619483E+01  1.477335528E-01  2.005848948E+00 -6.034313904E-01
  7.276167769E-02  1.949527787E+01  1.245682092E+01  1.646998311E-01  2.035500531E+00 -6.254507744E-01
  8.069100936E-02  2.161981003E+01  1.178385953E+01  2.029483456E-01  2.077509766E+00 -6.649431196E-01
  9.151869265E-02  2.452090716E+01  1.080512813E+01  2.563048718E-01  2.095473212E+00 -7.037310100E-01
  1.033713074E-01  2.769661757E+01  9.782631748E+00  3.139105194E-01  2.079666315E+00 -7.317748369E-01
  1.141989906E-01  3.059771469E+01  8.944173010E+00  3.641338444E-01  2.045128633E+00 -7.482287893E-01
  1.221283223E-01  3.272224685E+01  8.394603482E+00  3.988530790E-01  2.012461774E+00 -7.562353273E-01
  1.257600000E-01  3.369529432E+01  8.160628273E+00  4.140914390E-01  1.996123961E+00 -7.589955203E-01
  1.257600000E-01  3.369529432E+01  8.160628273E+00  4.140914390E-01  1.996123961E+00 -7.589955203E-01
  1.308538400E-01  3.506010378E+01  7.850404394E+00  4.347225834E-01  1.972169351E+00 -7.620450661E-01
  1.419756273E-01  3.804000117E+01  7.240861929E+00  4.766421418E-01  1.917205084E+00 -7.659394440E-01
  1.571626816E-01  4.210911904E+01  6.539368911E+00  5.268566105E-01  1.839988193E+00 -7.665844264E-01
  1.737873184E-01  4.656341319E+01  5.911054005E+00  5.728448781E-01  1.756900826E+00 -7.629258685E-01
