#time =  2.0000127E+03
#uTau =  5.7344979E-02
#ReTau =  2.8784599E+02
#  y     y+    Umean
  0.000000000E+00  0.000000000E+00  0.000000000E+00
  1.845017964E-03  5.310810212E-01  5.305550520E-01
  5.873392890E-03  1.690632587E+00  1.684286873E+00
  1.137423075E-02  3.274026704E+00  3.237672643E+00
  1.739576925E-02  5.007302411E+00  4.872210199E+00
  2.289660711E-02  6.590696527E+00  6.261867548E+00
  2.692498204E-02  7.750248093E+00  7.196905622E+00
  2.877000000E-02  8.281329114E+00  7.599225410E+00
  2.877000000E-02  8.281329114E+00  7.599225410E+00
  3.135828380E-02  9.026356226E+00  8.135174231E+00
  3.700949034E-02  1.065303336E+01  9.189860105E+00
  4.472634178E-02  1.287429810E+01  1.038905062E+01
  5.317365822E-02  1.530582426E+01  1.143009328E+01
  6.089050966E-02  1.752708900E+01  1.218621824E+01
  6.654171620E-02  1.915376613E+01  1.264825268E+01
  6.913000000E-02  1.989879325E+01  1.283853243E+01
  6.913000000E-02  1.989879325E+01  1.283853243E+01
  7.276167769E-02  2.094415710E+01  1.308590311E+01
  8.069100936E-02  2.322658342E+01  1.355836786E+01
  9.151869265E-02  2.634328863E+01  1.408648149E+01
  1.033713074E-01  2.975501624E+01  1.455220916E+01
  1.141989906E-01  3.287172145E+01  1.490363158E+01
  1.221283223E-01  3.515414776E+01  1.512698599E+01
  1.257600000E-01  3.619951162E+01  1.522134109E+01
  1.257600000E-01  3.619951162E+01  1.522134109E+01
  1.308538400E-01  3.766575304E+01  1.534632065E+01
  1.419756273E-01  4.086711491E+01  1.559338726E+01
  1.571626816E-01  4.523864757E+01  1.588473160E+01
  1.737873184E-01  5.002398262E+01  1.615739583E+01
  1.889743727E-01  5.439551528E+01  1.637438901E+01
  2.000961600E-01  5.759687715E+01  1.651785727E+01
  2.051900000E-01  5.906311856E+01  1.657983840E+01
  2.051900000E-01  5.906311856E+01  1.657983840E+01
  2.123366389E-01  6.112024991E+01  1.666325967E+01
  2.279404659E-01  6.561174892E+01  1.683269640E+01
  2.492478476E-01  7.174499329E+01  1.704072345E+01
  2.725721524E-01  7.845880089E+01  1.724401359E+01
  2.938795341E-01  8.459204525E+01  1.741179833E+01
  3.094833611E-01  8.908354426E+01  1.752551809E+01
  3.166300000E-01  9.114067562E+01  1.757531168E+01
  3.166300000E-01  9.114067562E+01  1.757531168E+01
  3.266567139E-01  9.402682500E+01  1.764294708E+01
  3.485488383E-01  1.003283852E+02  1.778245410E+01
  3.784430336E-01  1.089333094E+02  1.795730029E+01
  4.111669664E-01  1.183527622E+02  1.813113786E+01
  4.410611617E-01  1.269576865E+02  1.827626217E+01
  4.629532861E-01  1.332592467E+02  1.837532185E+01
  4.729800000E-01  1.361453961E+02  1.841884070E+01
  4.729800000E-01  1.361453961E+02  1.841884070E+01
  4.870449753E-01  1.401939428E+02  1.847801400E+01
  5.177541581E-01  1.490334579E+02  1.860023220E+01
  5.596882478E-01  1.611040174E+02  1.875261344E+01
  6.055917522E-01  1.743171571E+02  1.890170450E+01
  6.475258419E-01  1.863877166E+02  1.902271683E+01
  6.782350247E-01  1.952272317E+02  1.910236045E+01
  6.923000000E-01  1.992757784E+02  1.913631729E+01
  6.923000000E-01  1.992757784E+02  1.913631729E+01
  7.120327782E-01  2.049557795E+02  1.918136547E+01
  7.551169271E-01  2.173573790E+02  1.926944972E+01
  8.139493153E-01  2.342920460E+02  1.936730322E+01
  8.783506847E-01  2.528297219E+02  1.944436141E+01
  9.371830729E-01  2.697643889E+02  1.948691440E+01
  9.802672218E-01  2.821659883E+02  1.950107190E+01
  1.000000000E+00  2.878459894E+02  1.950264056E+01
